time,step,value
1732492832.6537943,89151,87.0
1732492833.2935662,89183,87.0
1732492834.5737786,89247,87.0
1732492839.3732035,89487,87.0
1732492852.3832397,90127,88.0
1732492853.342496,90175,88.0
1732492870.3231885,91023,88.0
1732492871.2835858,91071,88.0
1732492874.3855681,91215,89.0
1732492880.1503282,91503,89.0
1732492880.4707744,91519,89.0
1732492885.9116004,91791,89.0
1732492886.8713505,91839,89.0
1732492897.653728,92367,90.0
1732492898.292486,92399,90.0
1732492900.533604,92511,90.0
1732492912.0532777,93087,90.0
1732492918.6870012,93407,91.0
1732492926.3673835,93791,91.0
1732492927.9697962,93871,91.0
1732492929.8912113,93967,91.0
1732492938.4292169,94383,92.0
1732492944.829974,94703,92.0
1732492946.4308326,94783,92.0
1732492951.2301686,95023,92.0
1732492952.82989,95103,92.0
1732492966.528768,95775,93.0
1732492974.5306206,96175,93.0
1732492975.1702814,96207,93.0
1732492980.1909325,96447,94.0
1732492980.8305013,96479,94.0
1732492982.7503176,96575,94.0
1732492983.3892312,96607,94.0
1732492989.1464462,96895,94.0
1732492999.286287,97391,95.0
1732493005.3667254,97695,95.0
1732493008.8872342,97871,95.0
1732493009.526933,97903,95.0
1732493011.4483917,97999,95.0
1732493015.60568,98207,95.0
1732493021.762117,98479,96.0
1732493034.2918668,99103,96.0
1732493041.5553122,99455,97.0
1732493043.1567,99535,97.0
1732493050.8333025,99919,97.0
1732493054.364782,100095,97.0
1732493057.8911762,100271,97.0
1732493060.0323281,100367,98.0
1732493061.9535685,100463,98.0
1732493069.6294122,100847,98.0
1732493088.4000628,101775,99.0
1732493099.9149363,102351,99.0
1732493100.2343202,102367,99.0
1732493101.4186883,102415,100.0
1732493107.8103368,102735,100.0
1732493108.130236,102751,100.0
1732493108.4493256,102767,100.0
1732493111.0102713,102895,100.0
1732493124.983651,103583,101.0
1732493127.2215068,103695,101.0
1732493128.1801944,103743,101.0
1732493134.2559466,104047,101.0
1732493151.4271696,104895,102.0
1732493154.3038273,105039,102.0
1732493154.9436111,105071,102.0
1732493156.2215977,105135,102.0
1732493158.1395621,105231,102.0
1732493159.100647,105279,102.0
1732493161.3398745,105391,102.0
1732493163.7929356,105503,103.0
1732493164.7524483,105551,103.0
1732493168.5899134,105743,103.0
1732493177.226976,106175,103.0
1732493178.5055888,106239,103.0
