time,step,value
1732423728.5343924,422655,412.0
1732423728.793398,422687,412.0
1732423742.024704,424239,414.0
1732423770.2290819,427615,417.0
1732423770.9946353,427711,417.0
1732423771.7590332,427807,417.0
1732423772.2679536,427871,417.0
1732423772.3949125,427887,417.0
1732423787.2809029,429695,419.0
1732423817.1645873,433327,423.0
1732423829.8040903,434879,424.0
1732423831.081145,435039,424.0
1732423831.9753964,435151,424.0
1732423834.3526804,435423,425.0
1732423847.5319564,437023,426.0
1732423858.7135873,438367,428.0
1732423870.4068584,439807,429.0
1732423870.6630082,439839,429.0
1732423874.8191655,440335,430.0
1732423877.1236968,440623,430.0
1732423913.6587539,445087,434.0
1732423917.0468357,445487,435.0
1732423922.6697226,446191,435.0
1732423937.8581417,448031,437.0
1732423939.5473368,448239,437.0
1732423951.463045,449679,439.0
1732423955.1715465,450143,439.0
1732423960.2686753,450751,440.0
1732424006.6373076,456415,445.0
1732424010.0349495,456815,446.0
1732424012.8479915,457167,446.0
1732424015.281776,457471,446.0
1732424018.5962427,457855,447.0
1732424020.6462882,458111,447.0
1732424036.7966516,460047,449.0
1732424044.8018284,461023,450.0
1732424071.6641746,464303,453.0
1732424072.5589638,464415,453.0
1732424073.7102156,464559,453.0
1732424080.1785495,465343,454.0
1732424083.2489445,465727,454.0
1732424087.2901144,466207,455.0
1732424089.7620122,466511,455.0
1732424107.2809641,468655,457.0
1732424117.7739835,469935,458.0
1732424117.901862,469951,458.0
1732424140.0001037,472639,461.0
1732424140.6391501,472719,461.0
1732424144.074695,473119,462.0
1732424149.9828444,473855,462.0
1732424151.8996763,474095,462.0
1732424162.5420082,475375,464.0
1732424171.4321737,476463,465.0
1732424176.664194,477119,465.0
1732424182.2711046,477791,466.0
1732424199.2802017,479871,468.0
1732424200.687096,480047,468.0
1732424213.89176,481647,470.0
1732424219.0075743,482287,470.0
1732424231.1658485,483759,472.0
1732424232.956981,483983,472.0
1732424235.2576454,484271,472.0
1732424282.7417033,490047,478.0
1732424321.986936,494783,483.0
1732424326.758543,495375,483.0
1732424359.6913266,499359,487.0
1732424363.116528,499759,488.0
1732424374.284792,501119,489.0
1732424382.8521056,502143,490.0
1732424383.7625573,502255,490.0
1732424384.8105578,502383,490.0
1732424391.145653,503135,491.0
1732424392.3047361,503279,491.0
1732424400.048235,504207,492.0
1732424401.7150557,504415,492.0
1732424422.2703383,506879,494.0
1732424426.5931754,507407,495.0
1732424432.0401409,508063,496.0
1732424456.2751987,510991,499.0
1732424470.0232317,512687,500.0
1732424478.7951672,513775,501.0
1732424484.6972208,514495,502.0
1732424490.9789076,515263,503.0
1732424498.088868,516143,504.0
1732424514.8918536,518223,506.0
1732424515.8969402,518351,506.0
1732424528.6433377,519935,507.0
1732424530.2123783,520127,507.0
1732424532.9841702,520431,508.0
1732424548.4207485,522287,510.0
1732424551.8665624,522719,510.0
1732424552.1180568,522751,510.0
1732424563.6419072,524175,511.0
1732424572.7956536,525279,512.0
1732424577.1900795,525807,513.0
1732424580.710998,526255,513.0
1732424598.0370967,528383,515.0
1732424609.775733,529839,517.0
1732424622.503907,531375,518.0
1732424623.8009179,531503,519.0
1732424625.4287734,531695,519.0
1732424627.9312901,531999,519.0
1732424630.181827,532271,519.0
1732424637.4134653,533119,520.0
1732424639.0249488,533311,520.0
1732424642.4889143,533695,521.0
1732424647.6792212,534287,521.0
1732424661.9672487,535919,523.0
1732424664.3969553,536223,523.0
1732424671.3537154,537055,524.0
1732424678.2190642,537871,525.0
1732424707.1104455,541359,528.0
1732424709.9075143,541695,528.0
1732424717.218397,542559,529.0
1732424728.8417578,543919,531.0
1732424728.972278,543935,531.0
1732424733.8850117,544543,531.0
1732424738.3890536,545087,532.0
1732424761.8579357,547983,535.0
1732424773.8950207,549487,536.0
1732424804.1737766,553215,540.0
1732424812.155076,554191,541.0
1732424821.9421089,555407,542.0
1732424832.0418522,556655,543.0
1732424834.7145712,556991,543.0
1732424835.970704,557103,544.0
1732424837.899314,557343,544.0
1732424851.138681,558991,545.0
1732424851.3902173,559023,545.0
1732424862.9634144,560431,547.0
1732424888.5143023,563551,550.0
1732424889.3949356,563663,550.0
1732424897.8768961,564703,551.0
1732424898.5061057,564783,551.0
1732424911.760712,566415,553.0
1732424913.8943987,566687,553.0
1732424922.385927,567743,554.0
1732424924.9432058,568063,554.0
1732424938.5628958,569743,556.0
1732424947.0998354,570799,557.0
1732424948.9841828,571039,557.0
1732424950.995169,571295,557.0
1732424952.710259,571487,558.0
1732424957.1070654,572047,558.0
1732424960.519478,572447,559.0
1732424990.1487355,576127,562.0
1732424997.8418684,577071,563.0
1732425001.643587,577535,563.0
1732425004.1244173,577839,564.0
1732425015.431573,579247,565.0
1732425020.9705813,579919,566.0
1732425022.1041646,580063,566.0
1732425026.0003002,580559,566.0
1732425033.2289746,581455,567.0
1732425051.9963613,583743,570.0
1732425066.8488936,585583,571.0
1732425071.0658803,586095,572.0
1732425103.4604576,590079,576.0
1732425107.729637,590623,576.0
1732425142.7778451,594943,580.0
1732425157.218204,596719,582.0
1732425197.5244553,601695,587.0
1732425204.542272,602559,588.0
1732425206.4286544,602799,588.0
1732425219.6333046,604415,590.0
1732425229.0275762,605583,591.0
1732425231.0839005,605839,591.0
1732425232.4704757,606015,591.0
1732425236.835819,606543,592.0
1732425247.0312297,607807,593.0
1732425254.8975208,608767,594.0
1732425255.023381,608783,594.0
1732425262.4576747,609695,595.0
1732425264.971465,610015,595.0
1732425270.56597,610687,596.0
1732425280.365921,611903,597.0
1732425298.5610425,614127,599.0
1732425301.6484632,614495,600.0
1732425319.1272864,616639,602.0
1732425331.3250918,618159,603.0
1732425338.8761754,619087,604.0
1732425340.262118,619263,604.0
1732425377.4369924,623727,609.0
1732425391.531052,625487,610.0
1732425395.1239586,625919,611.0
1732425401.7703383,626719,612.0
1732425414.079978,628255,613.0
1732425417.976095,628735,613.0
1732425418.700828,628815,614.0
1732425420.8440146,629087,614.0
1732425432.197616,630495,615.0
1732425458.2534428,633711,618.0
1732425467.5329554,634847,619.0
1732425492.035105,637871,622.0
1732425493.6207304,638047,623.0
1732425512.3110538,640367,625.0
1732425513.576694,640527,625.0
1732425514.332418,640623,625.0
1732425514.8354769,640687,625.0
1732425518.8237305,641167,626.0
1732425519.0764587,641199,626.0
1732425520.8485706,641423,626.0
1732425521.6049182,641519,626.0
1732425531.0685833,642671,627.0
1732425562.7093422,646559,631.0
1732425573.899766,647951,632.0
1732425577.2672596,648351,633.0
1732425588.8151622,649775,634.0
1732425592.4676256,650207,634.0
1732425601.4506488,651295,636.0
1732425610.1369886,652367,637.0
1732425620.587548,653663,638.0
1732425626.7006137,654415,639.0
1732425628.715345,654671,639.0
1732425657.851176,658223,642.0
1732425669.5133538,659647,644.0
1732425686.8593855,661775,646.0
1732425687.7375631,661887,646.0
1732425703.3088415,663791,648.0
1732425706.3305066,664175,648.0
1732425709.352066,664559,648.0
1732425717.2701375,665535,649.0
1732425729.3604624,667023,651.0
1732425743.614181,668767,653.0
1732425745.8909032,669055,653.0
1732425749.798401,669551,653.0
1732425772.7108796,672367,656.0
1732425785.2175539,673903,658.0
1732425805.2849214,676351,660.0
1732425809.4339116,676863,660.0
1732425811.6647308,677135,661.0
1732425816.6240108,677759,661.0
1732425849.5576565,681823,665.0
1732425874.552791,684911,668.0
1732425880.4178216,685599,669.0
1732425885.0342047,686143,670.0
1732425888.831794,686623,670.0
1732425891.9370341,687007,670.0
1732425896.0471168,687503,671.0
1732425905.631789,688639,672.0
1732425909.0463467,689071,672.0
1732425909.550004,689135,672.0
1732425911.5075893,689359,673.0
1732425914.8780632,689775,673.0
1732425917.6577268,690127,673.0
1732425939.5240886,692815,676.0
1732425940.0533607,692879,676.0
1732425941.7938752,693087,676.0
1732425952.0795627,694335,678.0
1732425952.583038,694399,678.0
1732425957.1230392,694975,678.0
1732425968.4808373,696335,680.0
1732425969.3695924,696447,680.0
1732425974.9134052,697151,680.0
1732425981.761107,697983,681.0
1732425986.7503514,698591,682.0
1732425994.5767684,699551,683.0
1732426006.879587,701087,684.0
1732426011.7772286,701679,685.0
1732426017.6275485,702415,685.0
1732426017.7527244,702431,685.0
1732426025.8147686,703359,686.0
1732426036.7705245,704671,688.0
1732426046.2103133,705823,689.0
1732426048.0502515,706047,689.0
1732426066.8808308,708383,691.0
1732426070.7651088,708847,692.0
1732426078.2618418,709775,693.0
1732426084.6742408,710591,693.0
1732426111.0961065,713823,697.0
1732426112.2252786,713967,697.0
1732426119.156234,714799,698.0
1732426136.842578,716927,700.0
1732426141.6021724,717503,700.0
1732426156.7997355,719311,702.0
1732426171.3592732,721087,704.0
1732426180.1473362,722159,705.0
1732426184.7980936,722719,705.0
1732426204.8140156,725071,708.0
1732426205.9665155,725215,708.0
1732426209.4242857,725647,708.0
1732426213.343525,726111,709.0
1732426217.7550187,726655,709.0
1732426223.823246,727359,710.0
1732426228.5017793,727935,710.0
1732426242.8653898,729711,712.0
1732426244.880421,729967,712.0
1732426252.8575578,730943,713.0
1732426255.0608387,731199,714.0
1732426265.9294705,732559,715.0
1732426267.0624487,732703,715.0
1732426290.9859428,735663,718.0
1732426297.6878493,736479,719.0
1732426337.3342001,741359,723.0
1732426355.345171,743567,726.0
1732426360.79491,744255,726.0
1732426367.6333842,745087,727.0
1732426368.5249195,745199,727.0
1732426371.1546438,745503,728.0
1732426374.558856,745919,728.0
1732426386.4315748,747343,729.0
1732426393.1983435,748159,730.0
1732426401.2797728,749103,731.0
1732426402.205066,749215,731.0
1732426405.918061,749663,732.0
1732426412.5976217,750511,732.0
1732426413.1024084,750575,732.0
